Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
CHa_47_T0_B_TWS042_10_LPART40_2	(5.0, 1.0)	(6.0, 3.0)	(7.0, 11.0)	(8.0, 27.0)	(9.0, 161.0)	(10.0, 3128.0)	(11.0, 19096.0)	(12.0, 57587.0)	(13.0, 143628.0)	(14.0, 335848.0)	(15.0, 489873.0)	(16.0, 483370.0)	(17.0, 411481.0)	(18.0, 386908.0)	(19.0, 415765.0)	(20.0, 468231.0)	(21.0, 527821.0)	(22.0, 594863.0)	(23.0, 663900.0)	(24.0, 723825.0)	(25.0, 801330.0)	(26.0, 872453.0)	(27.0, 954324.0)	(28.0, 1068327.0)	(29.0, 1189109.0)	(30.0, 1372666.0)	(31.0, 1586097.0)	(32.0, 1924700.0)	(33.0, 2402643.0)	(34.0, 3216878.0)	(35.0, 4713386.0)	(36.0, 7647596.0)	(37.0, 14739902.0)	(38.0, 36867439.0)	(39.0, 356045013.0)	(40.0, 303456490.0)	
CHa_47_T0_B_TWS042_10_LPART41_1	(11.0, 2.0)	(12.0, 62.0)	(13.0, 1439.0)	(14.0, 16052.0)	(15.0, 62820.0)	(16.0, 95261.0)	(17.0, 77086.0)	(18.0, 77862.0)	(19.0, 110731.0)	(20.0, 160971.0)	(21.0, 210505.0)	(22.0, 267975.0)	(23.0, 331253.0)	(24.0, 390694.0)	(25.0, 464101.0)	(26.0, 542185.0)	(27.0, 618286.0)	(28.0, 726299.0)	(29.0, 822512.0)	(30.0, 970397.0)	(31.0, 1146780.0)	(32.0, 1431971.0)	(33.0, 2026520.0)	(34.0, 2961256.0)	(35.0, 4287455.0)	(36.0, 6098131.0)	(37.0, 11383059.0)	(38.0, 26364917.0)	(39.0, 319814888.0)	(40.0, 299670222.0)							
CHa_47_T0_B_TWS042_10_LPART41_2	(6.0, 2.0)	(7.0, 11.0)	(8.0, 19.0)	(9.0, 56.0)	(10.0, 1277.0)	(11.0, 9723.0)	(12.0, 34911.0)	(13.0, 104457.0)	(14.0, 276383.0)	(15.0, 420893.0)	(16.0, 416473.0)	(17.0, 348749.0)	(18.0, 329050.0)	(19.0, 354806.0)	(20.0, 404799.0)	(21.0, 461165.0)	(22.0, 521841.0)	(23.0, 588977.0)	(24.0, 645728.0)	(25.0, 718856.0)	(26.0, 786465.0)	(27.0, 868866.0)	(28.0, 973465.0)	(29.0, 1086733.0)	(30.0, 1262585.0)	(31.0, 1465010.0)	(32.0, 1792549.0)	(33.0, 2234478.0)	(34.0, 3020842.0)	(35.0, 4444162.0)	(36.0, 7196616.0)	(37.0, 13864054.0)	(38.0, 34382858.0)	(39.0, 325441076.0)	(40.0, 276673757.0)		
CHa_47_T0_B_TWS042_10_LPART4_1	(11.0, 1.0)	(12.0, 66.0)	(13.0, 1576.0)	(14.0, 14008.0)	(15.0, 49956.0)	(16.0, 74356.0)	(17.0, 70881.0)	(18.0, 89651.0)	(19.0, 135696.0)	(20.0, 195719.0)	(21.0, 254400.0)	(22.0, 316101.0)	(23.0, 392139.0)	(24.0, 462200.0)	(25.0, 560138.0)	(26.0, 671105.0)	(27.0, 783634.0)	(28.0, 952468.0)	(29.0, 1098413.0)	(30.0, 1347586.0)	(31.0, 1621410.0)	(32.0, 2081353.0)	(33.0, 2909082.0)	(34.0, 4198412.0)	(35.0, 6382203.0)	(36.0, 9974525.0)	(37.0, 20719641.0)	(38.0, 49193157.0)	(39.0, 317233337.0)	(40.0, 182696173.0)							
CHa_47_T0_B_TWS042_10_LPART4_2	(9.0, 13.0)	(10.0, 701.0)	(11.0, 6807.0)	(12.0, 28072.0)	(13.0, 101513.0)	(14.0, 258603.0)	(15.0, 363318.0)	(16.0, 360536.0)	(17.0, 317329.0)	(18.0, 304510.0)	(19.0, 332315.0)	(20.0, 387273.0)	(21.0, 447022.0)	(22.0, 509889.0)	(23.0, 580820.0)	(24.0, 643366.0)	(25.0, 721375.0)	(26.0, 802349.0)	(27.0, 896710.0)	(28.0, 1025739.0)	(29.0, 1164168.0)	(30.0, 1398148.0)	(31.0, 1662035.0)	(32.0, 2115327.0)	(33.0, 2683230.0)	(34.0, 3709935.0)	(35.0, 5454541.0)	(36.0, 8941583.0)	(37.0, 18176872.0)	(38.0, 46418205.0)	(39.0, 322500868.0)	(40.0, 182166215.0)					
CHa_47_T0_B_TWS042_10_LPART5_1	(11.0, 1.0)	(12.0, 64.0)	(13.0, 1824.0)	(14.0, 20263.0)	(15.0, 80360.0)	(16.0, 135980.0)	(17.0, 125983.0)	(18.0, 128459.0)	(19.0, 176910.0)	(20.0, 246429.0)	(21.0, 312643.0)	(22.0, 387509.0)	(23.0, 472284.0)	(24.0, 551801.0)	(25.0, 665791.0)	(26.0, 787113.0)	(27.0, 924564.0)	(28.0, 1115824.0)	(29.0, 1289116.0)	(30.0, 1589320.0)	(31.0, 1903939.0)	(32.0, 2500602.0)	(33.0, 3548526.0)	(34.0, 5211142.0)	(35.0, 7871275.0)	(36.0, 12741194.0)	(37.0, 26718524.0)	(38.0, 68653944.0)	(39.0, 408935050.0)	(40.0, 162308235.0)							
CHa_47_T0_B_TWS042_10_LPART5_2	(9.0, 1.0)	(10.0, 56.0)	(11.0, 1594.0)	(12.0, 15114.0)	(13.0, 94880.0)	(14.0, 304419.0)	(15.0, 470441.0)	(16.0, 476642.0)	(17.0, 414590.0)	(18.0, 393279.0)	(19.0, 420209.0)	(20.0, 477282.0)	(21.0, 538550.0)	(22.0, 612723.0)	(23.0, 695695.0)	(24.0, 770750.0)	(25.0, 875659.0)	(26.0, 976055.0)	(27.0, 1109365.0)	(28.0, 1283162.0)	(29.0, 1483457.0)	(30.0, 1796391.0)	(31.0, 2137028.0)	(32.0, 2730569.0)	(33.0, 3454668.0)	(34.0, 4808838.0)	(35.0, 7097098.0)	(36.0, 11756700.0)	(37.0, 23671690.0)	(38.0, 63131943.0)	(39.0, 414904868.0)	(40.0, 162500953.0)					
CHa_47_T0_B_TWS042_10_LPART6_1	(11.0, 5.0)	(12.0, 75.0)	(13.0, 2270.0)	(14.0, 24237.0)	(15.0, 100037.0)	(16.0, 150395.0)	(17.0, 103460.0)	(18.0, 81354.0)	(19.0, 113748.0)	(20.0, 171702.0)	(21.0, 232562.0)	(22.0, 293902.0)	(23.0, 361251.0)	(24.0, 423104.0)	(25.0, 502590.0)	(26.0, 592753.0)	(27.0, 678017.0)	(28.0, 806310.0)	(29.0, 923794.0)	(30.0, 1099659.0)	(31.0, 1313827.0)	(32.0, 1667384.0)	(33.0, 2404285.0)	(34.0, 3502909.0)	(35.0, 5124327.0)	(36.0, 7584059.0)	(37.0, 13537210.0)	(38.0, 31539543.0)	(39.0, 339125254.0)	(40.0, 335261499.0)							
CHa_47_T0_B_TWS042_10_LPART6_2	(9.0, 31.0)	(10.0, 1356.0)	(11.0, 11444.0)	(12.0, 43095.0)	(13.0, 132510.0)	(14.0, 343472.0)	(15.0, 517012.0)	(16.0, 504419.0)	(17.0, 415053.0)	(18.0, 385058.0)	(19.0, 409430.0)	(20.0, 463957.0)	(21.0, 525845.0)	(22.0, 591788.0)	(23.0, 664304.0)	(24.0, 727300.0)	(25.0, 799301.0)	(26.0, 871021.0)	(27.0, 960650.0)	(28.0, 1078927.0)	(29.0, 1213601.0)	(30.0, 1417408.0)	(31.0, 1654958.0)	(32.0, 2048229.0)	(33.0, 2548263.0)	(34.0, 3486919.0)	(35.0, 5077487.0)	(36.0, 8155586.0)	(37.0, 15781603.0)	(38.0, 39792580.0)	(39.0, 364737349.0)	(40.0, 292361566.0)					
CHa_47_T0_B_TWS042_10_LPART7_1	(10.0, 1.0)	(11.0, 2.0)	(12.0, 124.0)	(13.0, 3436.0)	(14.0, 36123.0)	(15.0, 135382.0)	(16.0, 187408.0)	(17.0, 127307.0)	(18.0, 98645.0)	(19.0, 129805.0)	(20.0, 184478.0)	(21.0, 240999.0)	(22.0, 299639.0)	(23.0, 364599.0)	(24.0, 426512.0)	(25.0, 507615.0)	(26.0, 595888.0)	(27.0, 683955.0)	(28.0, 808396.0)	(29.0, 924937.0)	(30.0, 1097032.0)	(31.0, 1307238.0)	(32.0, 1662664.0)	(33.0, 2381711.0)	(34.0, 3469764.0)	(35.0, 4978895.0)	(36.0, 7344220.0)	(37.0, 12959721.0)	(38.0, 29910363.0)	(39.0, 336443090.0)	(40.0, 272320762.0)						
CHa_47_T0_B_TWS042_10_LPART7_2	(9.0, 29.0)	(10.0, 1395.0)	(11.0, 11820.0)	(12.0, 45548.0)	(13.0, 144438.0)	(14.0, 377443.0)	(15.0, 584116.0)	(16.0, 574754.0)	(17.0, 472382.0)	(18.0, 429788.0)	(19.0, 447946.0)	(20.0, 497496.0)	(21.0, 554210.0)	(22.0, 618800.0)	(23.0, 690105.0)	(24.0, 748713.0)	(25.0, 820441.0)	(26.0, 892449.0)	(27.0, 978536.0)	(28.0, 1098431.0)	(29.0, 1231519.0)	(30.0, 1443125.0)	(31.0, 1675935.0)	(32.0, 2066043.0)	(33.0, 2542129.0)	(34.0, 3440315.0)	(35.0, 4952690.0)	(36.0, 7879822.0)	(37.0, 15093882.0)	(38.0, 37960406.0)	(39.0, 342216257.0)	(40.0, 249139748.0)					
CHa_47_T0_B_TWS042_10_LPART8_1	(12.0, 1.0)	(13.0, 16.0)	(14.0, 223.0)	(15.0, 871.0)	(16.0, 1399.0)	(17.0, 1616.0)	(18.0, 2250.0)	(19.0, 3570.0)	(20.0, 5417.0)	(21.0, 7414.0)	(22.0, 9352.0)	(23.0, 11812.0)	(24.0, 13927.0)	(25.0, 16287.0)	(26.0, 19071.0)	(27.0, 21920.0)	(28.0, 25939.0)	(29.0, 29742.0)	(30.0, 36123.0)	(31.0, 43515.0)	(32.0, 56588.0)	(33.0, 81539.0)	(34.0, 111690.0)	(35.0, 154443.0)	(36.0, 267036.0)	(37.0, 515932.0)	(38.0, 1311472.0)	(39.0, 16663485.0)	(40.0, 7107221.0)								
CHa_47_T0_B_TWS042_10_LPART8_2	(10.0, 24.0)	(11.0, 289.0)	(12.0, 1451.0)	(13.0, 5379.0)	(14.0, 13195.0)	(15.0, 19108.0)	(16.0, 19126.0)	(17.0, 17955.0)	(18.0, 17515.0)	(19.0, 18403.0)	(20.0, 20873.0)	(21.0, 22705.0)	(22.0, 24699.0)	(23.0, 27230.0)	(24.0, 29306.0)	(25.0, 32651.0)	(26.0, 34972.0)	(27.0, 38308.0)	(28.0, 42990.0)	(29.0, 46461.0)	(30.0, 54387.0)	(31.0, 60849.0)	(32.0, 74758.0)	(33.0, 91381.0)	(34.0, 123177.0)	(35.0, 177495.0)	(36.0, 290142.0)	(37.0, 597330.0)	(38.0, 1621725.0)	(39.0, 16513883.0)	(40.0, 6482104.0)						
CHa_47_T0_B_TWS042_10_LPART9_1	(11.0, 2.0)	(12.0, 80.0)	(13.0, 2113.0)	(14.0, 20512.0)	(15.0, 79631.0)	(16.0, 126762.0)	(17.0, 103597.0)	(18.0, 88258.0)	(19.0, 115054.0)	(20.0, 161780.0)	(21.0, 208770.0)	(22.0, 253851.0)	(23.0, 305330.0)	(24.0, 356059.0)	(25.0, 426062.0)	(26.0, 509123.0)	(27.0, 582852.0)	(28.0, 688173.0)	(29.0, 784819.0)	(30.0, 920004.0)	(31.0, 1089263.0)	(32.0, 1357792.0)	(33.0, 1955078.0)	(34.0, 2852805.0)	(35.0, 4086627.0)	(36.0, 5730345.0)	(37.0, 10719023.0)	(38.0, 24321028.0)	(39.0, 316934925.0)	(40.0, 282292932.0)							
CHa_47_T0_B_TWS042_10_LPART9_2	(5.0, 1.0)	(6.0, 1.0)	(7.0, 11.0)	(8.0, 23.0)	(9.0, 59.0)	(10.0, 1022.0)	(11.0, 8072.0)	(12.0, 31301.0)	(13.0, 104537.0)	(14.0, 288593.0)	(15.0, 457860.0)	(16.0, 477045.0)	(17.0, 400506.0)	(18.0, 364437.0)	(19.0, 379064.0)	(20.0, 424054.0)	(21.0, 474798.0)	(22.0, 528994.0)	(23.0, 589958.0)	(24.0, 643813.0)	(25.0, 710686.0)	(26.0, 776794.0)	(27.0, 853545.0)	(28.0, 953206.0)	(29.0, 1066647.0)	(30.0, 1240685.0)	(31.0, 1436389.0)	(32.0, 1758796.0)	(33.0, 2182020.0)	(34.0, 2949872.0)	(35.0, 4288751.0)	(36.0, 7267678.0)	(37.0, 13218705.0)	(38.0, 32541767.0)	(39.0, 309634608.0)	(40.0, 271018352.0)	
