Sample	qualimap_raw_bamqc-avg_gc	qualimap_raw_bamqc-median_insert_size	qualimap_raw_bamqc-1_x_pc	qualimap_raw_bamqc-5_x_pc	qualimap_raw_bamqc-10_x_pc	qualimap_raw_bamqc-30_x_pc	qualimap_raw_bamqc-50_x_pc	qualimap_raw_bamqc-median_coverage	qualimap_raw_bamqc-mean_coverage	qualimap_raw_bamqc-percentage_aligned_on_target	qualimap_raw_bamqc-regions_size	qualimap_raw_bamqc-regions_mapped_reads	qualimap_raw_bamqc-general_error_rate	qualimap_raw_bamqc-percentage_aligned	qualimap_raw_bamqc-mapped_reads	qualimap_raw_bamqc-mapped_paired_reads	qualimap_raw_bamqc-total_reads	qualimap_raw_bamqc-ns	qualimap_raw_bamqc-duplication_rate	qualimap_all_molecules_bamqc-avg_gc	qualimap_all_molecules_bamqc-median_insert_size	qualimap_all_molecules_bamqc-1_x_pc	qualimap_all_molecules_bamqc-5_x_pc	qualimap_all_molecules_bamqc-10_x_pc	qualimap_all_molecules_bamqc-30_x_pc	qualimap_all_molecules_bamqc-50_x_pc	qualimap_all_molecules_bamqc-median_coverage	qualimap_all_molecules_bamqc-mean_coverage	qualimap_all_molecules_bamqc-percentage_aligned_on_target	qualimap_all_molecules_bamqc-regions_size	qualimap_all_molecules_bamqc-regions_mapped_reads	qualimap_all_molecules_bamqc-general_error_rate	qualimap_all_molecules_bamqc-percentage_aligned	qualimap_all_molecules_bamqc-mapped_reads	qualimap_all_molecules_bamqc-mapped_paired_reads	qualimap_all_molecules_bamqc-total_reads	qualimap_all_molecules_bamqc-ns	qualimap_all_molecules_bamqc-duplication_rate	qualimap_duplex_bamqc-avg_gc	qualimap_duplex_bamqc-median_insert_size	qualimap_duplex_bamqc-1_x_pc	qualimap_duplex_bamqc-5_x_pc	qualimap_duplex_bamqc-10_x_pc	qualimap_duplex_bamqc-30_x_pc	qualimap_duplex_bamqc-50_x_pc	qualimap_duplex_bamqc-median_coverage	qualimap_duplex_bamqc-mean_coverage	qualimap_duplex_bamqc-percentage_aligned_on_target	qualimap_duplex_bamqc-regions_size	qualimap_duplex_bamqc-regions_mapped_reads	qualimap_duplex_bamqc-general_error_rate	qualimap_duplex_bamqc-percentage_aligned	qualimap_duplex_bamqc-mapped_reads	qualimap_duplex_bamqc-mapped_paired_reads	qualimap_duplex_bamqc-total_reads	qualimap_duplex_bamqc-ns	qualimap_duplex_bamqc-duplication_rate	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
CHa_47_T0_B_TWS042_10_LPART16	52.17225913865337	209	99.66932680183484	99.58877985008745	99.36903782173432	94.76436521458623	86.56524176635743	239	365.4402	87.78612346010813	120595501	351.302551	0.21	99.92858670256165	400.180048	351.12406799999997	400.466034	1536389446	75.82																																												
CHa_47_T0_B_TWS042_10_LPART16_1																																																										15.283317894971944	51.0	150.0	150	9.090909090909092	200.233017
CHa_47_T0_B_TWS042_10_LPART16_2																																																										15.44556467592264	51.0	150.0	150	9.090909090909092	200.233017
CHa_47_T0_B_TWS042_10_LPART17	52.299546291971126	207	99.69156146214775	99.66292938241536	99.63505686667366	99.51639240671176	99.08154368047279	828	1277.3111	87.74522219578624	120595501	1228.903691	0.21	99.88406666677906	1400.5363029999999	1228.171061	1402.161876	5355992609	87.56																																												
CHa_47_T0_B_TWS042_10_LPART17_1																																																										32.8723526902658	51.0	150.0	150	9.090909090909092	701.080938
CHa_47_T0_B_TWS042_10_LPART17_2																																																										32.96076214551543	51.0	150.0	150	18.181818181818183	701.080938
CHa_47_T0_B_TWS042_10_LPART18	52.185117149926725	207	99.68837643454046	99.6582426404116	99.62799938946313	99.44642462242435	98.69753681772922	695	1070.3586	87.68350563321748	120595501	1030.349907	0.21	99.90433085144564	1175.078368	1029.782358	1176.203632	4478064303	86.36																																												
CHa_47_T0_B_TWS042_10_LPART18_1																																																										30.399757532362983	51.0	150.0	150	9.090909090909092	588.101816
CHa_47_T0_B_TWS042_10_LPART18_2																																																										30.689782216570492	51.0	150.0	150	9.090909090909092	588.101816
CHa_47_T0_B_TWS042_10_LPART19	52.10843077454867	217	99.6588222640246	99.53825308955763	99.13463438408039	92.48877120216947	82.62829556137422	189	285.4035	87.73091035005577	120595501	274.07822799999997	0.19	99.94579516047706	312.407824	273.96079299999997	312.577256	1208917521	73.75																																												
CHa_47_T0_B_TWS042_10_LPART19_1																																																										17.080012893150155	51.0	150.0	150	9.090909090909092	156.288628
CHa_47_T0_B_TWS042_10_LPART19_2																																																										17.402022113903953	51.0	150.0	150	9.090909090909092	156.288628
CHa_47_T0_B_TWS042_10_LPART1_1																																																										31.867586055323287	50.0	150.0	150	18.181818181818183	640.6307049999999
CHa_47_T0_B_TWS042_10_LPART1_2																																																										32.75294612936479	51.0	150.0	150	18.181818181818183	640.6307049999999
