GENE	SAMPLE	Observed_synonymous	Estimated_synonymous
EP300	P19_0018_BDO_01	2.0	3.6346033903826607
EP300	P19_0018_BTR_01	5.0	3.450040763767933
EP300	P19_0019_BDO_01	1.0	2.116195057564872
EP300	P19_0019_BTR_01	1.0	2.213979827008682
EP300	P19_0020_BDO_01	3.0	2.419174641024016
EP300	P19_0020_BTR_01	1.0	1.7894687705817922
EP300	P19_0023_BDO_01	9.0	6.12627494896342
EP300	P19_0023_BTR_01	10.0	7.591347430808159
EP300	P19_0024_BDO_01	5.0	3.124599051204637
EP300	P19_0024_BTR_01	3.0	1.7110213369109242
EP300	P19_0025_BDO_01	1.0	0.8913308752764368
EP300	P19_0025_BTR_01	2.0	2.212389492158643
EP300	P19_0026_BDO_01	7.0	3.133409195381832
EP300	P19_0026_BTR_01	5.0	2.18010752657969
EP300	P19_0027_BTR_01	1.0	2.7358425272996247
EP300	P19_0028_BDO_01	4.0	4.105707676058376
EP300	P19_0028_BTR_01	3.0	3.0444797731669304
EP300	P19_0029_BDO_01	0.0	2.091490016969705
EP300	P19_0029_BTR_01	0.0	2.404325286208849
EP300	P19_0030_BTR_01	0.0	1.2969087672904258
EP300	P19_0031_BTR_01	0.0	1.5869077157177085
EP300	P19_0033_BDO_01	1.0	1.0704787698377505
EP300	P19_0033_BTR_01	1.0	1.0364996680047645
EP300	P19_0034_BDO_01	3.0	2.2212684935119613
EP300	P19_0034_BTR_01	3.0	2.359530702590953
EP300	P19_0035_BDO_01	7.0	6.199948611332227
EP300	P19_0036_BTR_01	1.0	0.329361620745713
EP300	P19_0038_BDO_01	4.0	5.916833055046798
EP300	P19_0039_BTR_01	2.0	4.038156249842208
EP300	P19_0040_BDO_01	4.0	2.8666652015488987
EP300	P19_0040_BTR_01	1.0	1.7766697612010365
EP300	P19_0041_BDO_01	2.0	1.5441871927750428
EP300	P19_0041_BTR_01	0.0	1.5341908495032397
EP300	P19_0042_BDO_01	3.0	3.6183998825602863
EP300	P19_0042_BTR_01	0.0	2.860855834407726
